#(0)Hugo,(1)Profile,(2)FL,(3)Material of Real,(4)Rotate,(5)FrontColor,(6)BackColor,(7)SectionColor
#SETTINGS,JISTYPE,mm,,,,,
#ALL,,,,,,,
b44,H-446x199x8x12,,,,matSTEEL,BLACK,BLACK
b45,H-450x200x9x14,,,,matSTEEL,BLACK,BLACK
b49,H-496x199x9x14,,,,matSTEEL,BLACK,BLACK
b50,H-500x200x10x16,,,,matSTEEL,BLACK,BLACK
Hb10,H-100x100x6x8,,,90,matSTEEL,BLACK,BLACK
Hb125,H-125x125x6.5x9,,,90,matSTEEL,BLACK,BLACK
Hb19,H-198x99x4.5x7,,,90,matSTEEL,BLACK,BLACK
Hb24,H-248x124x5x8,,,90,matSTEEL,BLACK,BLACK
Hb25,H-250x125x6x9,,,90,matSTEEL,BLACK,BLACK
Hb294,H-294x200x8x12,,,90,matSTEEL,BLACK,BLACK
Hb29,H-298x149x5.5x8,,,90,matSTEEL,BLACK,BLACK
Hb34,H-346x174x6x9,,,90,matSTEEL,BLACK,BLACK
Hb250,H-250x250x9x14,,,90,matSTEEL,BLACK,BLACK
V1,CHS-318.5x7.9,,,,matSTEEL,BLACK,BLACK
V2,SHS-200x200x10,,,,matSTEEL,BLACK,BLACK
##STEEL_GIRDER,,,,,,,
SG1,H-500x200x10x16,,,,matSTEEL,BLACK,BLACK
##STEEL_COLUMN,,,,,,,
SC1,SHS-200x200x12.0x24,,,,matSTEEL,BLACK,BLACK
SC2,H-300x300x10x15x13,,,,matSTEEL,BLACK,BLACK
##RC_BEAM,,,,,,,
B1,RC-1000x1200,0,,0,matCONC,BLACK,BLACK
,RC-1000x1000,0,,0,matCONC,BLACK,BLACK
RB1,RC-500x800,,RC,,matCONC,BLACK,BLACK
RB2,RC-400x400,,RC,,matCONC,BLACK,BLACK
##RC_GIRDER,,,,,,,
G11,RC-400x800,0,,0,matCONC,YELLOW,YELLOW
G1,RC-500x800,,RC,,matCONC,BLACK,BLACK
G2,RC-400x600,,RC,,matCONC,BLACK,BLACK
FG1,RC-400x1200,,RC,,matCONC,BLACK,BLACK
G12,RC-500x1000,,RC,,matCONC,WHITE,BLACK
##RC_COLUMN,,,,,,,
C1,RC-500x500,,RC,,matCONC,BLACK,BLACK
C2,RC-600x600,,RC,,matCONC,BLACK,BLACK
C3,RC-800x800,,RC,,matCONC,BLACK,BLACK
C4,RC-600x900,,RC,,matCONC,BLACK,BLACK
##RC_FOOTING,,,,,,,
F1,RCF-1200x1200x600,-600,RC,,matCONC,BLACK,BLACK
FC1,RCF-600x600x1200,0,RC,,matCONC,BLACK,BLACK
##RC_WALL,,,,,,,
FREEWALL,RCW-0,,RC,,matCONC,BLACK,BLACK
W10,RCW-100,,RC,,matCONC,BLACK,BLACK
W15,RCW-150,,RC,,matCONC,BLACK,BLACK
W18,RCW-180,,RC,,matCONC,BLACK,BLACK
W20,RCW-200,,RC,,matCONC,BLACK,BLACK
W25,RCW-250,,RC,,matCONC,BLACK,BLACK
ALC50,W-50,,,,matCONC,BLACK,BLACK
ALC100,W-100,,,,matCONC,BLACK,BLACK
ALC125,W-125,,,,matCONC,BLACK,BLACK
ALC150,W-150,,,,matCONC,BLACK,BLACK
LGS50,W-50,,,,matLGS,BLACK,BLACK
LGS65,W-65,,,,matLGS,BLACK,BLACK
LGS90,W-90,,,,matLGS,BLACK,BLACK
LGS100,W-100,,,,matLGS,BLACK,BLACK
GB-R12.5,W-12.5,,,,matPlASTER,BLACK,BLACK
GB-R9.5,W-9.5,,,,matPlASTER,BLACK,BLACK
GB-R12.5+9.5,W-22,,,,matPlASTER,BLACK,BLACK
GB-R21,W-21,,,,matPlASTER,BLACK,BLACK
GB-R21+21,W-42,,,,matPlASTER,BLACK,BLACK
PLYWOODt12,W-12,,,,matPLYWOOD,BLACK,BLACK
PLYWOODt15,W-15,,,,matPLYWOOD,BLACK,BLACK
PLYWOODt20,W-20,,,,matPLYWOOD,BLACK,BLACK
TILE+MORTAR,W-20,,,,matMORTAR,BLACK,BLACK
METAL_WALLPANEL,W-35,,,,matMETAL,BLACK,BLACK
METAL_DRIP,W-50,,,,matMETAL,BLACK,BLACK
STEEL-FURRING-100,W-100,,,,matSTFUR,BLACK,BLACK
PARAPET,[SHAPE]PARAPET1,,RC,,matCONC,BLACK,BLACK
##SLAB,,,,,,,
S4,RCSL-300,0,,0,matCONC,BLACK,BLACK
S5,RCSL-250,0,,0,matCONC,BLACK,BLACK
S15,RCSL-150,,RC,,matCONC,BLACK,BLACK
S18,RCSL-180,,RC,,matCONC,BLACK,BLACK
S20,RCSL-200,,RC,,matCONC,BLACK,BLACK
